time(day),S,I,R
0,9999,1,0
1,9998.840016, 1.0885554285714287, 0.07142857142857142
2, 9998.66586733474, 1.1849501346490998, 0.1491825306122449
3, 9998.476300607286, 1.289877566769976, 0.23382182594432346
4, 9998.269951642773, 1.4040924193703885, 0.3259559378564646
5, 9998.045335722038, 1.528416024435801, 0.42624825352577805
6, 9997.800836958771, 1.663742214528266, 0.5354208266997639
7, 9997.534696745894, 1.8110436977974138, 0.6542595563089257
8, 9997.245001190597, 1.9713789889658695, 0.7836198204373124
9, 9996.92966745071, 2.1458999439259956, 0.924432605363446
